open,high,low,close,date
407.00,424.70,377.00,424.70,1996-12-09T00:00:00
426.00,450.50,395.00,411.40,1997-01-02T00:00:00
408.50,421.50,382.10,383.50,1997-02-03T00:00:00
386.00,389.70,355.00,380.50,1997-03-03T00:00:00
378.00,417.50,376.50,403.10,1997-04-01T00:00:00
401.90,404.40,370.10,380.50,1997-05-01T00:00:00
387.50,393.10,347.10,378.00,1997-06-02T00:00:00
380.60,380.90,332.00,343.70,1997-07-01T00:00:00
342.00,365.90,341.10,356.70,1997-08-01T00:00:00
356.70,364.40,290.50,296.60,1997-09-02T00:00:00
296.00,328.40,295.00,296.30,1997-10-01T00:00:00
299.00,330.00,291.00,325.00,1997-11-03T00:00:00
327.40,328.80,280.60,282.90,1997-12-01T00:00:00
285.50,311.00,273.80,305.70,1998-01-02T00:00:00
307.00,325.70,290.00,295.20,1998-02-02T00:00:00
297.30,325.40,280.60,319.00,1998-03-02T00:00:00
314.00,345.40,294.00,299.00,1998-04-01T00:00:00
298.00,307.80,271.60,272.40,1998-05-01T00:00:00
264.00,300.00,260.80,293.40,1998-06-01T00:00:00
293.00,303.50,265.00,301.30,1998-07-01T00:00:00
304.00,316.00,287.90,287.90,1998-08-03T00:00:00
284.00,294.00,255.50,255.80,1998-09-01T00:00:00
253.00,276.50,253.00,260.70,1998-10-01T00:00:00
261.80,340.00,260.70,290.50,1998-11-02T00:00:00
289.20,315.00,288.70,305.60,1998-12-01T00:00:00
303.00,366.00,299.90,343.50,1999-01-04T00:00:00
343.00,343.00,323.00,334.40,1999-02-01T00:00:00
337.00,346.00,315.00,337.50,1999-03-01T00:00:00
337.50,352.10,314.30,343.90,1999-04-01T00:00:00
344.60,364.80,336.00,349.20,1999-05-03T00:00:00
349.00,419.70,346.00,403.60,1999-06-01T00:00:00
404.00,440.80,358.00,372.90,1999-07-01T00:00:00
382.90,382.90,338.10,342.30,1999-08-02T00:00:00
343.30,355.60,291.00,301.00,1999-09-01T00:00:00
302.00,325.50,285.60,320.20,1999-10-01T00:00:00
320.30,360.50,317.20,351.80,1999-11-01T00:00:00
354.00,354.00,324.60,349.00,1999-12-01T00:00:00
352.00,359.80,323.20,346.60,2000-01-03T00:00:00
345.50,360.50,329.50,330.20,2000-02-01T00:00:00
335.00,342.80,317.00,324.70,2000-03-01T00:00:00
326.00,329.50,292.20,299.50,2000-04-03T00:00:00
301.00,303.00,272.60,297.00,2000-05-01T00:00:00
295.90,308.30,268.00,275.50,2000-06-01T00:00:00
263.00,267.00,235.00,250.00,2000-07-03T00:00:00
248.10,249.80,213.20,221.80,2000-08-01T00:00:00
222.00,250.30,212.10,230.10,2000-09-01T00:00:00
231.50,234.00,202.20,207.20,2000-10-02T00:00:00
207.90,249.70,204.30,234.80,2000-11-01T00:00:00
233.30,237.90,202.10,205.50,2000-12-01T00:00:00
208.00,227.90,180.40,224.40,2001-01-02T00:00:00
226.00,229.20,191.30,202.20,2001-02-01T00:00:00
200.00,250.10,198.00,230.50,2001-03-01T00:00:00
233.00,292.80,226.50,288.40,2001-04-02T00:00:00
289.50,376.00,286.00,319.70,2001-05-01T00:00:00
326.00,345.00,286.00,293.30,2001-06-01T00:00:00
289.00,316.00,266.00,314.10,2001-07-02T00:00:00
319.00,341.50,299.10,318.40,2001-08-01T00:00:00
316.00,327.00,238.70,242.50,2001-09-04T00:00:00
241.30,252.00,213.80,225.00,2001-10-01T00:00:00
229.80,240.50,217.60,222.90,2001-11-01T00:00:00
221.00,272.00,215.90,245.10,2001-12-03T00:00:00
246.00,298.00,232.50,268.70,2002-01-02T00:00:00
268.00,311.50,260.50,311.00,2002-02-01T00:00:00
310.00,329.80,289.90,295.20,2002-03-01T00:00:00
294.00,307.50,267.10,286.30,2002-04-01T00:00:00
285.50,309.30,268.50,281.00,2002-05-01T00:00:00
282.00,288.50,256.30,287.50,2002-06-03T00:00:00
288.40,288.50,245.70,258.10,2002-07-01T00:00:00
268.10,268.10,227.90,228.30,2002-08-01T00:00:00
226.50,234.30,213.70,218.60,2002-09-03T00:00:00
217.50,238.80,215.60,222.80,2002-10-01T00:00:00
219.90,239.30,200.50,236.50,2002-11-01T00:00:00
241.00,247.00,212.00,217.70,2002-12-02T00:00:00
219.00,276.00,215.60,273.60,2003-01-02T00:00:00
272.00,287.60,228.30,232.60,2003-02-03T00:00:00
231.00,253.00,222.30,230.60,2003-03-03T00:00:00
232.90,252.40,231.50,233.50,2003-04-01T00:00:00
234.80,256.80,213.50,253.50,2003-05-01T00:00:00
260.00,313.50,254.70,285.50,2003-06-02T00:00:00
285.00,294.00,255.50,279.50,2003-07-01T00:00:00
282.00,352.80,281.00,349.50,2003-08-01T00:00:00
351.00,370.40,289.50,309.50,2003-09-02T00:00:00
308.00,314.30,264.10,279.80,2003-10-01T00:00:00
281.70,321.00,265.30,314.40,2003-11-03T00:00:00
315.00,316.30,277.00,312.60,2003-12-01T00:00:00
316.20,365.00,314.00,333.00,2004-01-02T00:00:00
332.00,400.00,328.60,385.00,2004-02-02T00:00:00
389.00,394.00,348.50,381.10,2004-03-01T00:00:00
383.50,435.10,383.50,434.20,2004-04-01T00:00:00
436.00,464.00,387.10,405.50,2004-05-03T00:00:00
406.00,410.00,373.50,376.50,2004-06-01T00:00:00
380.00,450.00,375.30,422.30,2004-07-01T00:00:00
423.00,458.70,401.50,440.50,2004-08-02T00:00:00
439.00,461.00,328.40,336.20,2004-09-01T00:00:00
340.00,342.40,286.70,319.50,2004-10-01T00:00:00
316.50,343.50,290.10,339.10,2004-11-01T00:00:00
340.00,363.30,319.00,356.40,2004-12-01T00:00:00
362.00,388.30,344.00,384.30,2005-01-03T00:00:00
386.00,418.50,381.00,418.50,2005-02-01T00:00:00
418.50,418.50,388.60,400.70,2005-03-01T00:00:00
402.80,402.90,341.00,356.40,2005-04-01T00:00:00
355.80,373.10,331.20,369.50,2005-05-02T00:00:00
373.00,373.60,318.50,325.30,2005-06-01T00:00:00
325.30,355.80,302.90,302.90,2005-07-01T00:00:00
301.00,305.00,267.00,297.00,2005-08-01T00:00:00
309.00,342.00,283.10,304.90,2005-09-01T00:00:00
305.90,311.00,278.70,310.50,2005-10-03T00:00:00
306.00,355.30,297.20,326.50,2005-11-01T00:00:00
336.50,366.50,318.80,359.00,2005-12-01T00:00:00
363.90,376.40,353.20,355.80,2006-01-03T00:00:00
356.60,371.30,329.50,330.50,2006-02-01T00:00:00
333.50,344.60,320.90,324.90,2006-03-01T00:00:00
333.00,348.40,316.50,344.70,2006-04-03T00:00:00
344.20,347.60,299.40,301.30,2006-05-01T00:00:00
301.60,309.80,286.10,294.50,2006-06-01T00:00:00
295.00,304.80,268.50,273.00,2006-07-03T00:00:00
273.00,293.50,261.60,288.50,2006-08-01T00:00:00
288.50,288.50,240.10,240.60,2006-09-01T00:00:00
242.20,264.00,232.20,243.90,2006-10-02T00:00:00
243.00,279.00,231.30,266.60,2006-11-01T00:00:00
265.90,272.10,251.50,268.00,2006-12-01T00:00:00
269.50,296.60,255.60,271.20,2007-01-03T00:00:00
270.00,282.90,257.60,261.40,2007-02-01T00:00:00
258.20,262.00,240.10,240.50,2007-03-01T00:00:00
242.00,259.30,231.80,232.20,2007-04-02T00:00:00
231.70,293.00,227.00,277.80,2007-05-01T00:00:00
283.00,302.30,271.20,279.80,2007-06-01T00:00:00
280.00,312.30,272.70,279.50,2007-07-02T00:00:00
279.60,286.50,255.00,261.00,2007-08-01T00:00:00
255.30,257.00,231.50,248.70,2007-09-04T00:00:00
253.00,253.00,223.50,228.50,2007-10-01T00:00:00
231.00,269.10,224.00,254.40,2007-11-01T00:00:00
255.80,255.80,233.50,234.50,2007-12-03T00:00:00
233.90,235.20,195.00,216.40,2008-01-02T00:00:00
216.00,237.30,211.80,219.20,2008-02-01T00:00:00
217.80,232.20,185.70,222.10,2008-03-03T00:00:00
221.00,246.50,208.30,210.30,2008-04-01T00:00:00
210.50,257.50,209.10,246.30,2008-05-01T00:00:00
246.30,253.00,238.60,242.00,2008-06-02T00:00:00
241.90,259.80,238.00,253.00,2008-07-01T00:00:00
258.00,270.30,250.20,252.00,2008-08-01T00:00:00
254.50,256.70,201.50,203.50,2008-09-02T00:00:00
202.00,203.50,176.20,188.60,2008-10-01T00:00:00
189.20,207.40,182.80,193.50,2008-11-03T00:00:00
194.00,194.10,163.70,169.40,2008-12-01T00:00:00
168.70,171.80,137.90,148.10,2009-01-02T00:00:00
158.10,175.90,138.00,147.00,2009-02-02T00:00:00
144.60,179.80,138.00,171.30,2009-03-02T00:00:00
172.40,189.10,159.30,161.00,2009-04-01T00:00:00
160.00,201.20,150.70,191.70,2009-05-01T00:00:00
193.80,216.30,189.60,191.00,2009-06-01T00:00:00
188.80,208.40,165.30,196.10,2009-07-01T00:00:00
198.50,214.00,170.30,176.80,2009-08-03T00:00:00
176.00,187.00,167.00,168.70,2009-09-01T00:00:00
170.30,189.90,163.00,186.90,2009-10-01T00:00:00
187.00,246.20,182.60,246.20,2009-11-02T00:00:00
250.00,255.20,202.20,205.00,2009-12-01T00:00:00
201.00,257.50,200.40,248.50,2010-01-04T00:00:00
253.00,281.90,252.10,257.00,2010-02-01T00:00:00
256.00,291.70,246.90,287.20,2010-03-01T00:00:00
287.30,327.50,285.10,291.50,2010-04-01T00:00:00
287.10,291.60,221.20,225.50,2010-05-03T00:00:00
232.00,235.30,175.20,195.00,2010-06-01T00:00:00
201.10,215.30,195.00,209.00,2010-07-01T00:00:00
211.00,220.50,195.50,204.50,2010-08-02T00:00:00
203.10,243.50,202.70,227.00,2010-09-01T00:00:00
229.00,257.00,211.30,257.00,2010-10-01T00:00:00
259.20,285.00,245.50,247.00,2010-11-01T00:00:00
251.00,319.00,246.50,302.00,2010-12-01T00:00:00
303.60,326.90,284.50,310.00,2011-01-03T00:00:00
313.40,325.00,283.30,288.90,2011-02-01T00:00:00
291.10,324.90,275.00,303.40,2011-03-01T00:00:00
304.60,305.70,221.10,237.00,2011-04-01T00:00:00
237.50,248.70,208.10,243.50,2011-05-02T00:00:00
246.90,252.00,213.60,244.90,2011-06-01T00:00:00
245.60,270.20,234.80,248.50,2011-07-01T00:00:00
250.40,251.50,213.90,241.60,2011-08-01T00:00:00
243.00,264.60,211.10,211.10,2011-09-01T00:00:00
212.20,232.40,211.20,224.20,2011-10-03T00:00:00
222.90,254.00,212.10,218.20,2011-11-01T00:00:00
221.30,259.60,218.70,247.10,2011-12-01T00:00:00
249.80,254.00,234.60,248.20,2012-01-03T00:00:00
251.00,276.30,249.00,265.80,2012-02-01T00:00:00
267.20,279.00,254.00,260.90,2012-03-01T00:00:00
258.20,287.20,255.70,284.90,2012-04-02T00:00:00
286.00,307.00,278.00,281.00,2012-05-01T00:00:00
284.70,289.50,265.50,273.40,2012-06-01T00:00:00
272.50,297.20,272.00,281.00,2012-07-02T00:00:00
281.10,317.00,279.90,288.10,2012-08-01T00:00:00
288.70,290.70,267.40,279.00,2012-09-04T00:00:00
281.10,318.80,272.30,318.80,2012-10-01T00:00:00
322.80,345.80,314.00,340.10,2012-11-01T00:00:00
342.50,392.80,332.60,373.90,2012-12-03T00:00:00
372.60,381.70,342.30,352.70,2013-01-02T00:00:00
358.00,400.80,358.00,380.30,2013-02-01T00:00:00
385.80,404.40,379.20,391.20,2013-03-01T00:00:00
392.30,394.90,343.50,345.50,2013-04-01T00:00:00
345.70,346.70,276.20,306.30,2013-05-01T00:00:00
305.30,313.10,278.50,297.60,2013-06-03T00:00:00
295.30,339.00,288.30,310.50,2013-07-01T00:00:00
311.50,328.00,297.00,320.40,2013-08-01T00:00:00
320.30,363.40,320.30,344.10,2013-09-03T00:00:00
344.50,368.50,328.50,361.50,2013-10-01T00:00:00
362.50,377.30,355.00,364.80,2013-11-01T00:00:00
369.00,376.70,340.70,360.10,2013-12-02T00:00:00
359.90,373.00,351.00,353.80,2014-01-02T00:00:00
356.60,366.10,347.90,350.00,2014-02-03T00:00:00
351.00,366.90,324.50,335.80,2014-03-03T00:00:00
336.90,345.80,321.00,335.90,2014-04-01T00:00:00
335.80,347.00,309.80,312.30,2014-05-01T00:00:00
312.30,340.00,295.00,335.10,2014-06-02T00:00:00
334.90,348.00,320.00,324.40,2014-07-01T00:00:00
325.30,356.50,323.60,348.40,2014-08-01T00:00:00
348.80,353.00,325.00,332.90,2014-09-02T00:00:00
334.00,353.00,319.00,323.00,2014-10-01T00:00:00
327.90,336.90,315.30,327.70,2014-11-03T00:00:00
326.60,342.30,326.00,331.10,2014-12-01T00:00:00
331.00,333.50,302.60,321.80,2015-01-02T00:00:00
322.10,323.80,287.20,297.20,2015-02-02T00:00:00
296.70,300.00,259.00,278.20,2015-03-02T00:00:00
277.90,278.90,241.90,256.30,2015-04-01T00:00:00
254.00,280.60,231.90,274.10,2015-05-01T00:00:00
273.10,302.40,263.50,288.30,2015-06-01T00:00:00
289.00,298.80,250.50,252.10,2015-07-01T00:00:00
252.50,264.50,231.80,234.20,2015-08-03T00:00:00
233.00,255.00,214.40,229.20,2015-09-01T00:00:00
226.30,265.00,218.50,253.70,2015-10-01T00:00:00
253.70,258.70,237.00,245.80,2015-11-02T00:00:00
246.80,271.50,240.60,257.60,2015-12-01T00:00:00
256.20,259.40,232.50,240.40,2016-01-04T00:00:00
241.90,266.80,238.70,254.00,2016-02-01T00:00:00
254.90,319.00,252.00,310.70,2016-03-01T00:00:00
306.40,307.50,274.30,295.60,2016-04-01T00:00:00
296.80,328.30,284.10,303.40,2016-05-02T00:00:00
300.60,311.30,291.20,303.90,2016-06-01T00:00:00
308.70,338.70,306.30,318.40,2016-07-01T00:00:00
318.00,336.70,311.20,312.70,2016-08-01T00:00:00
313.40,340.10,297.00,336.40,2016-09-01T00:00:00
336.70,345.70,296.90,298.20,2016-10-03T00:00:00
296.50,344.40,286.90,329.80,2016-11-01T00:00:00
330.80,338.30,303.10,316.60,2016-12-01T00:00:00
315.00,339.00,303.10,330.00,2017-01-03T00:00:00
332.00,381.70,332.00,366.40,2017-02-01T00:00:00
364.00,383.90,340.20,381.40,2017-03-01T00:00:00
376.90,414.60,369.80,379.80,2017-04-03T00:00:00
382.00,393.30,340.30,345.10,2017-05-01T00:00:00
351.00,372.60,349.90,365.90,2017-06-01T00:00:00
365.60,403.00,359.60,378.30,2017-07-03T00:00:00
379.60,388.10,360.40,385.70,2017-08-01T00:00:00
387.40,411.70,373.60,402.20,2017-09-01T00:00:00
402.20,458.40,402.20,458.40,2017-10-02T00:00:00
463.90,500.00,411.20,427.70,2017-11-01T00:00:00
432.30,455.40,417.20,448.00,2017-12-01T00:00:00
449.00,501.40,449.00,470.90,2018-01-02T00:00:00
474.20,532.60,472.90,516.60,2018-02-01T00:00:00
516.60,530.00,480.70,515.70,2018-03-01T00:00:00
518.00,580.00,512.00,577.20,2018-04-02T00:00:00
577.20,659.00,577.20,597.10,2018-05-01T00:00:00
604.80,606.10,510.20,569.30,2018-06-01T00:00:00
577.40,588.00,440.00,455.40,2018-07-02T00:00:00
455.40,486.80,404.00,437.60,2018-08-01T00:00:00
435.50,455.20,330.60,344.40,2018-09-04T00:00:00
343.10,372.00,299.90,311.50,2018-10-01T00:00:00
320.50,371.00,304.70,323.90,2018-11-01T00:00:00
337.20,340.30,315.20,332.50,2018-12-03T00:00:00
331.50,428.00,321.30,416.20,2019-01-02T00:00:00
418.80,444.90,383.00,385.60,2019-02-01T00:00:00
380.00,406.70,357.70,360.20,2019-03-01T00:00:00
359.00,367.70,308.00,341.20,2019-04-01T00:00:00
336.40,356.00,286.10,305.50,2019-05-01T00:00:00
302.70,413.60,296.30,378.90,2019-06-03T00:00:00
383.40,411.60,325.90,343.90,2019-07-01T00:00:00
342.40,385.00,340.50,374.50,2019-08-01T00:00:00
375.00,399.50,355.10,367.10,2019-09-03T00:00:00
367.00,409.40,357.50,396.20,2019-10-01T00:00:00
397.30,427.70,369.00,416.60,2019-11-01T00:00:00
410.00,421.10,388.60,405.30,2019-12-02T00:00:00
404.00,444.40,387.30,435.50,2020-01-02T00:00:00
434.30,468.30,394.00,399.40,2020-02-03T00:00:00
402.90,420.50,278.50,278.50,2020-03-02T00:00:00
271.10,344.70,251.50,319.70,2020-04-01T00:00:00
320.00,378.50,320.00,367.10,2020-05-01T00:00:00
362.30,447.70,346.30,435.70,2020-06-01T00:00:00
439.00,600.00,435.10,585.80,2020-07-01T00:00:00
595.00,934.50,584.10,928.00,2020-08-03T00:00:00
931.00,1000.00,549.60,612.20,2020-09-01T00:00:00
620.20,629.50,490.80,495.60,2020-10-01T00:00:00
498.50,648.00,495.00,636.80,2020-11-02T00:00:00
641.20,900.50,633.00,873.10,2020-12-01T00:00:00
873.10,912.20,651.40,887.00,2021-01-04T00:00:00
887.00,1030.40,842.90,995.60,2021-02-01T00:00:00
1000.00,1045.00,826.30,1009.10,2021-03-01T00:00:00
1012.60,1502.30,1006.00,1500.50,2021-04-01T00:00:00
1520.60,1711.20,1201.00,1309.50,2021-05-03T00:00:00
1315.00,1380.00,705.00,716.00,2021-06-01T00:00:00
716.00,825.60,490.00,621.20,2021-07-01T00:00:00
623.10,650.00,448.00,482.80,2021-08-02T00:00:00
482.10,659.70,454.40,627.50,2021-09-01T00:00:00
637.10,789.60,588.50,591.60,2021-10-01T00:00:00
595.20,831.80,530.10,824.50,2021-11-01T00:00:00
